date,usage_kw,time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2016-09-21,254390.4,2016-09-21,23.7,20.6,28.3,0.0,294.0,13.3,1020.1
2016-09-22,399240.0,2016-09-22,21.7,16.1,26.1,0.0,54.0,11.5,1020.6
2016-09-23,368330.4,2016-09-23,20.9,13.3,27.8,8.6,213.0,15.1,1016.1
2016-09-24,354542.4,2016-09-24,15.4,12.2,19.4,0.0,358.0,16.2,1018.9
2016-09-25,363433.68,2016-09-25,14.3,9.4,18.9,0.0,324.0,19.8,1019.8
2016-09-26,376336.8,2016-09-26,13.6,8.9,17.8,0.0,206.0,15.1,1021.1
2016-09-27,380692.8,2016-09-27,17.3,15.0,22.2,5.6,154.0,8.6,1013.5
2016-09-28,389455.2,2016-09-28,15.0,13.3,16.1,0.0,46.0,28.4,
2016-09-29,395690.4,2016-09-29,13.9,12.2,15.6,0.0,46.0,29.2,1031.0
2016-09-30,374860.08,2016-09-30,14.6,13.3,16.7,3.3,54.0,28.4,
2016-10-01,372268.44,2016-10-01,13.8,12.2,15.0,18.0,35.0,24.1,
2016-10-02,375732.0,2016-10-02,12.8,11.7,13.9,0.8,,12.2,1019.6
2016-10-03,400312.8,2016-10-03,15.3,12.8,20.0,0.0,127.0,13.0,1017.0
2016-10-04,398707.2,2016-10-04,15.2,10.0,17.2,0.0,47.0,20.2,1026.7
2016-10-05,378000.0,2016-10-05,12.2,8.9,15.6,0.0,31.0,12.2,1027.7
2016-10-06,362944.8,2016-10-06,13.6,9.4,19.4,0.0,197.0,7.9,1025.9
2016-10-07,339465.6,2016-10-07,15.6,11.7,20.0,0.0,,7.6,1025.0
2016-10-08,307951.2,2016-10-08,15.3,11.1,20.0,0.3,173.0,8.6,1019.8
2016-10-09,328536.0,2016-10-09,15.1,8.9,18.3,46.7,354.0,20.9,1016.0
2016-10-10,334548.0,2016-10-10,10.4,7.2,15.0,0.0,322.0,25.2,1020.2
2016-10-11,317700.0,2016-10-11,10.5,6.7,15.0,0.0,104.0,11.9,1030.4
2016-10-12,314956.8,2016-10-12,12.6,8.9,16.7,0.0,162.0,12.2,1027.4
2016-10-13,331077.6,2016-10-13,15.6,10.6,22.2,0.0,,15.5,1018.2
2016-10-14,328305.6,2016-10-14,12.2,7.8,15.6,0.0,346.0,15.5,1025.1
2016-10-15,353757.6,2016-10-15,9.7,5.6,13.3,0.0,40.0,13.0,1029.5
2016-10-16,355896.0,2016-10-16,13.4,7.8,21.7,0.0,219.0,20.9,1019.3
2016-10-17,377906.4,2016-10-17,18.8,16.7,23.9,0.0,205.0,10.8,1012.0
2016-10-18,380116.44,2016-10-18,16.4,13.9,20.6,3.6,,13.3,1012.1
2016-10-19,391723.2,2016-10-19,21.9,16.7,27.2,0.0,260.0,18.7,1013.1
2016-10-20,375681.24,2016-10-20,15.8,13.3,16.7,2.0,64.0,20.2,1022.4
2016-10-21,358883.27999999997,2016-10-21,16.8,15.0,23.9,28.2,,13.0,1007.9
2016-10-22,362418.12,2016-10-22,16.1,6.7,18.3,3.8,,20.9,
